date,시가,고가,저가,종가,PDI,MDI,ADX,SlowK,SlowD,거래량,미결제
2025/09/05/02:00,431.6,432,431.6,431.9,27.40130058,16.38008088,18.12901393,50.74074074,46.13496012,356,262392
2025/09/05/03:00,431.95,432.25,431.9,432.2,30.62839068,15.17946145,20.208546,62.5,51.58997342,422,262320
2025/09/05/04:00,432.2,432.95,432.15,432.85,39.84138126,12.72044478,24.39382822,78.125,60.43498228,850,262321
2025/09/05/05:00,432.85,433.25,432.6,433.2,40.67366482,11.04328424,28.78043317,94.85981308,71.90992588,561,262348
2025/09/06/00:00,431.85,432.95,431.55,432.6,18.12704379,34.59874818,45.081559,55.19480519,61.48040485,2264,249731
2025/09/06/01:00,432.65,433.05,432.5,433.05,18.13105212,32.06684985,42.77224626,54.51612903,59.15897958,1028,249729
2025/09/06/02:00,433.05,433.1,432.7,432.95,17.80526199,30.21159032,40.51427291,45.83333333,54.71709749,829,249761
2025/09/06/03:00,433,433.3,432.9,433.25,19.81998668,28.32096967,37.4668399,37.77777778,49.07065759,473,249806
2025/09/06/04:00,433.25,433.85,433.2,433.8,26.62442636,25.34686447,32.79902218,50.15873016,49.43334845,904,249677
2025/09/06/05:00,433.85,433.85,433.35,433.45,24.35440337,23.18576757,28.75358015,55.55555556,51.47408415,236,249637
